Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,59.279999,60.240002,53.970001,58.209999,50.923462,12078600
2018-03-01,58.200001,60.200001,53.470001,54.980000,48.097786,6555500
2018-04-01,54.919998,56.660000,53.009998,55.230000,48.478439,15234000
2018-05-01,55.119999,57.740002,53.549999,54.790001,48.092236,10527400
2018-06-01,55.500000,57.279999,53.150002,53.610001,47.056477,13954500
2018-07-01,53.340000,57.090000,53.099998,56.220001,49.543072,13045000
2018-08-01,56.570000,57.919998,55.750000,57.020000,50.248055,5774700
2018-09-01,56.930000,57.730000,53.970001,54.060001,47.639606,4140000
2018-10-01,54.410000,55.889999,48.330002,51.049999,45.242138,13360800
2018-11-01,51.299999,53.040001,50.400002,52.570000,46.589203,6349600
2018-12-01,53.320000,53.380001,41.020000,43.980000,38.976475,11492500
2019-01-01,43.380001,50.840000,43.380001,49.700001,44.441345,6915100
2019-02-01,49.919998,52.209999,49.130001,51.650002,46.185009,5509100
2019-03-01,52.000000,52.529999,46.660000,48.200001,43.100044,15969500
2019-04-01,48.490002,53.180000,48.490002,52.669998,47.332466,6776800
2019-05-01,52.730000,53.099998,47.410000,47.439999,42.632465,12762800
2019-06-01,47.400002,50.619999,47.299999,50.459999,45.346428,16710700
2019-07-01,51.020000,53.270000,50.040001,52.599998,47.568470,9716900
2019-08-01,52.480000,52.750000,45.980000,48.150002,43.544151,14948400
2019-09-01,47.759998,53.099998,46.919998,51.520000,46.591785,6925900
2019-10-01,51.860001,54.810001,48.160000,53.500000,48.727360,6350600
2019-11-01,54.060001,57.110001,54.000000,56.750000,51.687443,3136500
2019-12-01,56.950001,59.139999,55.130001,58.230000,53.035408,3315500
2020-01-01,58.439999,58.669998,53.709999,53.930000,49.499641,4323800
2020-02-01,54.279999,57.150002,46.099998,47.020000,43.157299,8611900
2020-03-01,47.369999,49.740002,28.379999,33.520000,30.766329,17230200
2020-04-01,31.780001,40.240002,30.500000,38.230000,35.505711,10965700
2020-05-01,37.160000,41.299999,31.150000,38.380001,35.645023,15406700
2020-06-01,38.680000,47.119999,36.810001,38.230000,35.505711,28010700
2020-07-01,38.439999,39.450001,35.520000,38.349998,35.911320,23881500
2020-08-01,38.450001,42.290001,37.990002,39.540001,37.025650,11915000
2020-09-01,39.369999,41.689999,35.380001,37.490002,35.106014,26777500
2020-10-01,37.830002,42.090000,36.910000,39.709999,37.464043,19617500
2020-11-01,40.169998,49.049999,39.310001,46.689999,44.049263,29486700
2020-12-01,47.759998,50.400002,47.490002,50.380001,47.530560,7262300
2021-01-01,50.700001,57.160000,49.220001,50.299999,47.781197,21662400
2021-02-01,50.730000,62.520000,50.290001,58.500000,55.570580,19064300
2021-03-01,59.810001,65.489998,58.860001,61.889999,58.790821,35372400
2021-04-01,61.639999,66.440002,60.439999,65.639999,62.644249,18207400
2021-05-01,66.180000,69.639999,64.769997,69.010002,65.860451,15098000
2021-06-01,69.720001,69.989998,61.259998,64.410004,61.470387,31143500
2021-07-01,64.779999,65.089996,59.779999,62.900002,60.353710,48451500
2021-08-01,63.279999,67.989998,61.709999,66.209999,63.529716,49811000
2021-09-01,66.279999,69.360001,61.919998,67.099998,64.383682,27673600
2021-10-01,67.370003,73.769997,67.190002,71.419998,68.889145,22999100
2021-11-01,71.940002,73.419998,67.400002,67.430000,65.040543,36893700
2021-12-01,68.930000,69.940002,63.869999,67.839996,65.436005,29696200
2022-01-01,68.599998,76.470001,65.320000,69.320000,67.349174,53168800
2022-02-01,69.250000,75.230003,64.910004,69.040001,67.077133,28900500
2022-03-01,68.190002,68.459999,61.450001,63.740002,61.927814,43493100
2022-04-01,64.339996,64.559998,56.480000,56.580002,55.253593,25238200
2022-05-01,57.000000,60.430000,53.439999,60.099998,58.691071,31145800
2022-06-01,60.110001,60.250000,50.599998,51.759998,50.546581,18083900
2022-07-01,51.480000,55.840000,49.740002,55.669998,54.835266,14897000
2022-08-01,55.320000,59.759998,54.320000,54.439999,53.623711,12785000
2022-09-01,54.220001,57.700001,48.680000,49.119999,48.383480,13067900
2022-10-01,49.689999,53.869999,47.500000,53.439999,53.007851,13056500
2022-11-01,54.009998,56.860001,51.560001,55.980000,55.527309,10945100
2022-12-01,55.910000,56.330002,49.509998,51.619999,51.202568,14632600
2023-01-01,52.090000,57.939999,51.549999,57.939999,57.939999,21728400
2023-02-01,57.290001,59.500000,57.209999,57.770000,57.770000,17499900
